STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,Grocery Chain
BOB'S LIQUORS & GROCERIES,957.0,86492.0,10001.0,A,5069 W MADISON ST,60644.0,AUSTIN,25.0,28.0,17031252201.0,170313000000000.0,1142425.327,1899505.114,41.88029609,-87.7524942,"(41.8802960895, -87.7524941982)",0
QUICK STOP FOOD MART,39791.0,3604.0,3000.0,B,2751 W PRATT BLVD,60645.0,WEST RIDGE,2.0,50.0,17031020601.0,170310000000000.0,1156542.527,1944958.748,42.00475007,-87.69942278,"(42.0047500731, -87.6994227766)",0
DOMINICK'S #147/1147,41674.0,5033.0,68000.0,A,1340 S CANAL ST,60607.0,NEAR WEST SIDE,28.0,2.0,17031841900.0,170318000000000.0,1173296.123,1893985.705,41.86452119,-87.6393041,"(41.8645211937, -87.6393040996)",1
CERMAK PRODUCE,1515206.0,279468.0,25000.0,A,5220 S PULASKI RD,60632.0,WEST ELSDON,62.0,23.0,17031620200.0,170316000000000.0,1150549.398,1869568.674,41.79799187,-87.72344374,"(41.79799187, -87.7234437408)",0
WHOLE FOODS MARKET,54059.0,86298.0,4501.0,B,3300 N ASHLAND AVE,60657.0,LAKE VIEW,6.0,44.0,17031062500.0,170311000000000.0,1165027.797,1921997.107,41.94156586,-87.6688604,"(41.9415658578, -87.6688604029)",0
PATEL BROS,25338.0,88729.0,5000.0,B,2610 W DEVON AVE,60659.0,WEST RIDGE,2.0,50.0,17031020602.0,170310000000000.0,1157695.367,1942415.316,41.9977473,-87.69525116,"(41.9977473006, -87.6952511581)",0
OHIO FOOD MART,1225367.0,243092.0,3500.0,B,5345 W OHIO ST,60644.0,AUSTIN,25.0,37.0,17031251500.0,170313000000000.0,1140427.886,1903410.306,41.89104929,-87.75973284,"(41.8910492873, -87.7597328373)",0
JOE'S FOOD & LIQUOR,822.0,154.0,3500.0,B,3626 W LAWRENCE AVE,60625.0,ALBANY PARK,14.0,39.0,17031140301.0,170311000000000.0,1151203.159,1931689.479,41.96844525,-87.71941658,"(41.968445246, -87.7194165758)",0
TWO BLUE FOODS INC,66710.0,20549.0,3000.0,B,702 E 100TH PL,60628.0,PULLMAN,50.0,8.0,17031500100.0,170315000000000.0,1183074.984,1838632.193,41.71240379,-87.60512759,"(41.712403787, -87.6051275894)",0
JEWEL FOOD STORE #3349,1353385.0,259.0,64285.0,A,2520 N NARRAGANSETT AVE,60639.0,BELMONT CRAGIN,19.0,36.0,17031831500.0,170318000000000.0,1133277.021,1916208.365,41.92629696,-87.78569482,"(41.9262969563, -87.785694824)",0
